Compound_ID,Name,Formula,Annot. Source: Predicted Compositions,mzCloud Search, mzVault Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],# mzCloud Results,# mzVault Results,mzCloud Best Match,mzCloud Best Match Confidence,mzCloud Best Sim. Match,mzVault Best Match,KEGG ID,mzCloud ID,MS2,Reference Ion
6.404_236.07766_RP,"12H-benzo[5,6][1,4]oxazino[2,3-b]quinoxaline",C14 H9 N3 O,No match,Invalid mass,No results,-17.78,235.07038,236.07766,6.404,1,0,67.9,8.4,,,,,DDA for preferred ion,[M+H]+1
10.037_265.1545_RP,2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid,C14 H20 N2 O3,Full match,Full match,No results,-0.66,264.14722,265.1545,10.037,1,0,85.1,53,,,,Autoprocessed-1281,DDA for preferred ion,[M+H]+1
11.866_257.02858_RP,"2-(3,5-dichlorophenyl)-6-methyl-2,3,4,5-tetrahydropyridazin-3-one",C11 H10 Cl2 N2 O,No match,Invalid mass,No results,16.74,256.0213,257.02858,11.866,1,0,75.1,47.2,,,,,DDA for preferred ion,[M+H]+1
5.82_266.08818_RP,"2-amino-7,9-dimethyl-5-oxo-5H-chromeno[2,3-b]pyridine-3-carbonitrile",C15 H11 N3 O2,No match,Invalid mass,No results,-15.92,265.08091,266.08818,5.82,2,0,76.1,8.8,,,,,DDA for preferred ion,[M+H]+1
5.14_266.08822_RP,"2-amino-7,9-dimethyl-5-oxo-5H-chromeno[2,3-b]pyridine-3-carbonitrile",C15 H11 N3 O2,No match,Invalid mass,No results,-15.8,265.08094,266.08822,5.14,2,0,80.2,9,,,,,DDA for preferred ion,[M+H]+1
3.612_139.05009_RP,2-Aminonicotinic acid,C6 H6 N2 O2,Full match,Full match,No results,-0.85,138.04281,139.05009,3.612,3,0,93,66.8,,,,Reference-115,DDA for preferred ion,[M+H]+1
3.018_190.10726_RP,2-Aminooctanedioic acid,C8 H15 N O4,Full match,Full match,No results,-0.67,189.09998,190.10726,3.018,1,0,61,65.3,,,,Reference-3297,DDA for preferred ion,[M+H]+1
9.399_311.05239_RP,"2-cyclopropyl-5-(1,3-thiazol-2-yl)-7-(trifluoromethyl)pyrazolo[1,5-a]pyrimidine",C13 H9 F3 N4 S,No match,Invalid mass,No results,-15.76,310.04511,311.05239,9.399,1,0,75.6,8.8,,,,,DDA for preferred ion,[M+H]+1
12.696_343.08104_RP,2-hydroxy-6-[2-hydroxy-6-(hydroxymethyl)-4-methoxyphenoxy]-4-methylbenzoic acid,C16 H16 O7,No match,Invalid mass,No results,68681.26,342.07376,343.08104,12.696,1,0,60.1,8,,,,,DDA for preferred ion,[M+H]+1
10.853_303.08611_RP,2-hydroxy-6-[2-hydroxy-6-(hydroxymethyl)-4-methoxyphenoxy]-4-methylbenzoic acid,C16 H16 O7,No match,Invalid mass,No results,-56267.89,302.07884,303.08611,10.853,1,0,66.8,67,,,,,DDA for preferred ion,[M+H]+1
11.135_303.08612_RP,2-hydroxy-6-[2-hydroxy-6-(hydroxymethyl)-4-methoxyphenoxy]-4-methylbenzoic acid,C16 H16 O7,No match,Invalid mass,No results,-56267.87,302.07884,303.08612,11.135,1,0,66.8,67,,,,,DDA for preferred ion,[M+H]+1
1.1_218.04236_RP,2-Hydroxyhippuric acid (Sodium Adduct),C9 H9 N O4,No match,Invalid mass,No results,112697.09,217.03508,218.04236,1.1,2,0,96.3,9.8,,,C07588,,DDA for preferred ion,[M+H]+1
1.096_180.08649_RP,[Similar to: 2-Hydroxyhippuric acid],C9 H9 N O4,No match,Invalid mass,No results,-81895.52,179.07918,180.08649,1.096,2,0,96.3,9.8,,,,,DDA for preferred ion,[M+H]+1
1.529_182.08101_RP,2-Hydroxyphenylalanine,C9 H11 N O3,Full match,Full match,No results,-0.9,181.07373,182.08101,1.529,2,0,64.2,47,,,,Reference-11,DDA for preferred ion,[M+H]+1
2.05_79.02116_RP,2-Mercaptoethanol,C2 H6 O S,Full match,Full match,No results,-0.72,78.01388,79.02116,2.05,1,0,90.2,9.5,,,C00928,Autoprocessed-3018,DDA for preferred ion,[M+H]+1
12.474_274.10722_RP,2-morpholinophenyl 2-furoate,C15 H15 N O4,Full match,Full match,No results,-0.61,273.09994,274.10722,12.474,4,0,79,8.9,,,,Autoprocessed-1679,DDA for preferred ion,[M+H]+1
11.681_274.1072_RP,2-morpholinophenyl 2-furoate,C15 H15 N O4,Full match,Full match,No results,-0.67,273.09992,274.1072,11.681,4,0,85.1,9.3,,,,Autoprocessed-1679,DDA for preferred ion,[M+H]+1
4.977_86.05997_RP,2-Pyrrolidinone,C4 H7 N O,Full match,No results,Full match,-0.8,85.0527,86.05997,4.977,0,1,,,,70.7,,,DDA for preferred ion,[M+H]+1
2.897_228.09772_RP,2'-Deoxycytidine,C9 H13 N3 O4,Full match,No results,Full match,-0.72,227.09044,228.09772,2.897,0,1,,,,79.6,C00881,,DDA for preferred ion,[M+H]+1
7.2_199.10755_RP,"3-(1-hydroxyethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",C9 H14 N2 O3,Full match,Full match,No results,-0.84,198.10028,199.10755,7.2,1,0,97.7,97.1,,,,Reference-7669,DDA for preferred ion,[M+H]+1
8.904_165.05452_RP,"[Similar to: 3-(3,4-dihydroxyphenyl)propanoic acid]",C9 H10 O4,No match,Invalid mass,No results,-98928.24,164.04724,165.05452,8.904,2,0,72.7,69.8,,,,,DDA for preferred ion,[M+H]+1
10.899_179.07015_RP,3-(4-hydroxy-3-methoxyphenyl)propanoic acid,C10 H12 O4,No match,Invalid mass,No results,-91856.85,178.06286,179.07015,10.899,1,0,68.5,67.5,,,,,DDA for preferred ion,[M+H]+1
13.073_228.07794_RP,"3-(4-methoxyphenyl)-1-methyl-1H-1,2,4-triazol-5-ol",C10 H11 N3 O2,Unused,Invalid mass,No results,107201.98,227.07066,228.07794,13.073,3,0,88.2,9.4,,,,,DDA for preferred ion,[M+H]+1
10.19_197.12829_RP,"3-(propan-2-yl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione",C10 H16 N2 O2,Full match,Full match,No results,-0.84,196.12101,197.12829,10.19,2,0,97.6,96.7,,,,Autoprocessed-6649,DDA for preferred ion,[M+H]+1
9.602_261.12322_RP,"3-[(4-hydroxyphenyl)methyl]-octahydropyrrolo[1,2-a]pyrazine-1,4-dione",C14 H16 N2 O3,Full match,Full match,No results,-0.55,260.11595,261.12322,9.602,2,0,99.1,96.9,,,,Autoprocessed-1302,DDA for preferred ion,[M+H]+1
9.542_261.1266_RP,"3-[(4-hydroxyphenyl)methyl]-octahydropyrrolo[1,2-a]pyrazine-1,4-dione",C14 H16 N2 O3,No match,Invalid mass,No results,12.42,260.11932,261.1266,9.542,2,0,99.1,96.9,,,,,DDA for preferred ion,[M+H]+1
1.753_96.04428_RP,3-Hydroxypyridine,C5 H5 N O,Full match,Full match,No results,-1.16,95.037,96.04428,1.753,2,0,100,10,,,,Reference-3323,DDA for preferred ion,[M+H]+1
1.536_96.04428_RP,3-Hydroxypyridine,C5 H5 N O,Full match,Full match,No results,-1.22,95.037,96.04428,1.536,2,0,99.9,10,,,,Reference-3323,DDA for preferred ion,[M+H]+1
9.318_139.03683_RP,"[Similar to: 3,4-Dihydroxybenzaldehyde]",C7 H6 O3,No match,Invalid mass,No results,-15.54,138.02955,139.03683,9.318,4,0,86.8,54,66.7,,,,DDA for preferred ion,[M+H]+1
9.321_139.03862_RP,"[Similar to: 3,4-Dihydroxybenzaldehyde]",C7 H6 O3,Full match,Full match,Full match,-2.57,138.03134,139.03862,9.321,4,1,86.8,54.1,66.7,72.8,,Reference-3393,DDA for preferred ion,[M+H]+1
9.175_139.03888_RP,"3,4-Dihydroxybenzaldehyde (NH4 Adduct)",C7 H6 O3,Full match,Full match,Full match,-0.69,138.0316,139.03888,9.175,4,1,86.8,54.1,66.7,72.8,C16700,Reference-3393,DDA for preferred ion,[M+H]+1
9.965_165.05447_RP,"[Similar to: 3-(3,4-dihydroxyphenyl)propanoic acid]",C9 H10 O4,No match,Invalid mass,No results,-98928.49,164.0472,165.05447,9.965,3,0,98.1,98.4,,,C10447,,DDA for preferred ion,[M+H]+1
9.873_165.05443_RP,"[Similar to: 3-(3,4-dihydroxyphenyl)propanoic acid]",C9 H10 O4,No match,Invalid mass,No results,-98928.69,164.04716,165.05443,9.873,3,0,98.1,98.4,,,,,DDA for preferred ion,[M+H]+1
8.493_165.05445_RP,"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,No match,Invalid mass,No results,-98928.58,164.04718,165.05445,8.493,2,0,77.2,8.9,,,,,DDA for preferred ion,[M+H]+1
14.114_257.08062_RP,"3,5-di(2-furylmethylidene)tetrahydro-2H-pyran-4-one",C15 H12 O4,Full match,Full match,No results,-0.84,256.07334,257.08062,14.114,1,0,63.5,66,,,,Autoprocessed-4854,DDA for preferred ion,[M+H]+1
11.167_205.04935_RP,"3,5-Dihydroxy-2-naphthoic acid",C11 H8 O4,Full match,Full match,No results,-0.89,204.04208,205.04935,11.167,1,0,77.1,73.1,,,,Reference-619,DDA for preferred ion,[M+H]+1
9.513_205.04936_RP,"3,5-Dihydroxy-2-naphthoic acid",C11 H8 O4,Full match,Full match,No results,-0.85,204.04209,205.04936,9.513,1,0,75.3,55.4,,,,Reference-619,DDA for preferred ion,[M+H]+1
6.318_348.07015_RP,3'-Adenosine monophosphate (3'-AMP),C10 H14 N5 O7 P,Full match,Full match,No results,-0.62,347.06287,348.07015,6.318,2,0,98.1,82.3,,,C01367,Reference-194,DDA for preferred ion,[M+H]+1
12.063_197.08069_RP,"3',5'-Dimethoxy-4'-hydroxyacetophenone",C10 H12 O4,Full match,Full match,No results,-0.74,196.07341,197.08069,12.063,1,0,92.9,79.9,,,C10664,Reference-1732,DDA for preferred ion,[M+H]+1
11.507_223.09631_RP,"4-(2,3-dihydro-1,4-benzodioxin-6-yl)butanoic acid",C12 H14 O4,Full match,Full match,No results,-0.77,222.08904,223.09631,11.507,1,0,60.1,65,,,,Autoprocessed-3769,DDA for preferred ion,[M+H]+1
6.119_146.08108_RP,[Similar to: 4-(Acetylamino)butanoic acid],C6 H11 N O3,No match,Invalid mass,Invalid mass,-117365.34,128.04725,146.08108,6.119,1,1,96.4,77.5,,91.6,,,DDA for preferred ion,[M+NH4]+1
6.118_146.08104_RP,4-(Acetylamino)butanoic acid,C6 H11 N O3,Full match,Partial match,Full match,-0.88,145.07377,146.08104,6.118,1,1,96.4,77.5,,91.6,C02946,,DDA for preferred ion,[M+H]+1
3.186_305.08409_RP,4-(methylthio)-6-phenyl-2-(3-pyridyl)pyrimidine-5-carbonitrile,C17 H12 N4 S,No match,Full match,No results,-4.78,304.07681,305.08409,3.186,5,0,97.1,9.9,,,,Autoprocessed-5839,DDA for preferred ion,[M+H]+1
2.491_305.08405_RP,4-(methylthio)-6-phenyl-2-(3-pyridyl)pyrimidine-5-carbonitrile,C17 H12 N4 S,No match,Full match,No results,-4.91,304.07678,305.08405,2.491,5,0,95.2,9.8,,,,Autoprocessed-5839,DDA for preferred ion,[M+H]+1
1.695_305.08395_RP,4-(methylthio)-6-phenyl-2-(3-pyridyl)pyrimidine-5-carbonitrile,C17 H12 N4 S,No match,Invalid mass,No results,-5.25,304.07667,305.08395,1.695,5,0,95.2,9.8,,,,,DDA for preferred ion,[M+H]+1
1.528_305.08656_RP,4-(methylthio)-6-phenyl-2-(3-pyridyl)pyrimidine-5-carbonitrile,C17 H12 N4 S,Not the top hit,Full match,No results,3.3,304.07927,305.08656,1.528,5,0,95.2,9.8,,,,Autoprocessed-5839,DDA for preferred ion,[M+H]+1
2.371_460.20219_RP,"4-[4-(5-{(2S)-1-[4-(Trifluoromethyl)benzyl]-2-pyrrolidinyl}-1,2,4-oxadiazol-3-yl)-2-pyridinyl]morpholine",C23 H24 F3 N5 O2,No match,Invalid mass,No results,14.59,459.19491,460.20219,2.371,5,0,64.4,8.2,,,,,DDA for preferred ion,[M+H]+1
12.6_406.24331_RP,"4-{[3,5-Bis(sec-Butyl)-4-oxocyclohexa-2,5-dienyliden]amino}-1,5-dimethyl-2-phenyl-2,3-dihydro-1H-pyrazol-3-one",C25 H31 N3 O2,No match,Invalid mass,No results,-13.8,405.23604,406.24331,12.6,2,0,65.6,43.5,,,,,DDA for preferred ion,[M+H]+1
9.323_165.05445_RP,[Similar to: 4-Coumaric acid],C9 H8 O3,Full match,Full match,No results,-1.04,164.04717,165.05445,9.323,3,0,93.3,67.6,67.9,,,Reference-539,DDA for preferred ion,[M+H]+1
11.795_165.05451_RP,4-Coumaric acid,C9 H8 O3,Full match,Full match,No results,-0.65,164.04724,165.05451,11.795,2,0,96.6,87.5,,,C00811,Reference-539,DDA for preferred ion,[M+H]+1
1.628_236.14906_RP,4-Fluoro-α-pyrrolidinobutiophenone,C14 H18 F N O,No match,Invalid mass,No results,19.3,235.14178,236.14906,1.628,1,0,77.4,8.9,,,,,DDA for preferred ion,[M+H]+1
1.856_236.14905_RP,4-Fluoro-α-pyrrolidinobutiophenone,C14 H18 F N O,No match,Invalid mass,No results,19.26,235.14177,236.14905,1.856,1,0,77.2,8.9,,,,,DDA for preferred ion,[M+H]+1
1.427_236.14903_RP,4-Fluoro-α-pyrrolidinobutiophenone,C14 H18 F N O,No match,Invalid mass,No results,19.19,235.14175,236.14903,1.427,1,0,72.6,69.8,,,,,DDA for preferred ion,[M+H]+1
2.165_146.09229_RP,4-Guanidinobutyric acid,C5 H11 N3 O2,Full match,Full match,Full match,-0.81,145.08501,146.09229,2.165,1,1,99.2,96.6,,91.4,C01035,Reference-233,DDA for preferred ion,[M+H]+1
9.317_123.04221_RP,[Similar to: 4-Hydroxybenzaldehyde],C7 H6 O2,No results,Invalid mass,No results,-15.12,122.03493,123.04221,9.317,11,0,93.2,9.7,65.2,,,,DDA for preferred ion,[M+H]+1
11.304_123.04391_RP,4-Hydroxybenzaldehyde,C7 H6 O2,Full match,Full match,No results,-1.13,122.03664,123.04391,11.304,1,0,81.2,50.7,,,,Reference-234,DDA for preferred ion,[M+H]+1
10.451_123.04383_RP,[Similar to: 4-Hydroxybenzaldehyde],C7 H6 O2,Full match,Full match,Full match,-1.85,122.03655,123.04383,10.451,2,1,95.8,9.8,60.8,87,C00633,Reference-234,DDA for preferred ion,[M+H]+1
9.744_123.04375_RP,[Similar to: 4-Hydroxybenzaldehyde],C7 H6 O2,Full match,Full match,Full match,-2.53,122.03647,123.04375,9.744,1,1,92.1,9.6,,83.1,,Reference-234,DDA for preferred ion,[M+H]+1
9.967_123.04386_RP,[Similar to: 4-Hydroxybenzaldehyde],C7 H6 O2,Full match,Full match,Full match,-1.6,122.03658,123.04386,9.967,1,1,87.8,9.4,,76.8,,Reference-234,DDA for preferred ion,[M+H]+1
9.743_163.03884_RP,4-Hydroxycoumarin,C9 H6 O3,Full match,Full match,No results,-0.83,162.03156,163.03884,9.743,3,0,86.5,9.3,,,C20414,Reference-235,DDA for preferred ion,[M+H]+1
11.567_193.08577_RP,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,-0.78,192.07849,193.08577,11.567,1,0,72.6,69.8,,,C10480,Autoprocessed-2807,DDA for preferred ion,[M+H]+1
11.466_193.08577_RP,"[Similar to : 4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole]",C11 H12 O3,Full match,Full match,No results,-0.8,192.07849,193.08577,11.466,1,0,72.6,69.8,,,,Autoprocessed-2807,DDA for preferred ion,[M+H]+1
13.333_137.05958_RP,4-Methoxybenzaldehyde,C8 H8 O2,Full match,Full match,No results,-0.89,136.05231,137.05958,13.333,2,0,70.2,48.3,,,,Reference-6559,DDA for preferred ion,[M+H]+1
11.334_137.0596_RP,[Similar to: 4-Methoxybenzaldehyde],C8 H8 O2,Full match,Full match,No results,-0.8,136.05232,137.0596,11.334,1,0,75.3,55.3,,,C10761,Reference-6559,DDA for preferred ion,[M+H]+1
12.874_163.07526_RP,4-Methoxycinnamaldehyde,C10 H10 O2,Full match,Full match,No results,-0.62,162.06798,163.07526,12.874,1,0,90.7,58.4,,,C10475,Reference-6556,DDA for preferred ion,[M+H]+1
12.495_163.07525_RP,[Similar to: 4-Methoxycinnamaldehyde],C10 H10 O2,Full match,Full match,No results,-0.67,162.06797,163.07525,12.495,1,0,74.9,71.4,,,,Reference-6556,DDA for preferred ion,[M+H]+1
10.538_163.07522_RP,[Similar to: 4-Methoxycinnamaldehyde],C10 H10 O2,Full match,Full match,No results,-0.8,162.06795,163.07522,10.538,1,0,76.7,72.8,,,,Reference-6556,DDA for preferred ion,[M+H]+1
9.742_161.05956_RP,4-Methoxycinnamic acid,C10 H10 O3,No match,Invalid mass,No results,-101147.95,160.05229,161.05956,9.742,2,0,76.3,8.8,,,,,DDA for preferred ion,[M+H]+1
9.741_179.07012_RP,4-Methoxycinnamic acid,C10 H10 O3,Full match,Full match,No results,-0.83,178.06285,179.07012,9.741,1,0,67.6,43.8,,,,Reference-3427,DDA for preferred ion,[M+H]+1
9.62_179.07015_RP,4-Methoxycinnamic acid,C10 H10 O3,Full match,Full match,No results,-0.62,178.06288,179.07015,9.62,1,0,67.6,43.8,,,,Reference-3427,DDA for preferred ion,[M+H]+1
10.024_169.04943_RP,4-Methoxysalicylic acid,C8 H8 O4,Full match,Full match,No results,-0.63,168.04215,169.04943,10.024,3,0,92.6,65.2,,,,Reference-239,DDA for preferred ion,[M+H]+1
8.184_169.04944_RP,4-Methoxysalicylic acid,C8 H8 O4,Full match,Full match,No results,-0.61,168.04216,169.04944,8.184,3,0,89.8,55.8,,,,Reference-239,DDA for preferred ion,[M+H]+1
9.927_169.04944_RP,4-Methoxysalicylic acid,C8 H8 O4,Full match,Full match,No results,-0.59,168.04216,169.04944,9.927,3,0,92.6,65.2,,,,Reference-239,DDA for preferred ion,[M+H]+1
8.108_169.04944_RP,4-Methoxysalicylic acid,C8 H8 O4,Full match,Full match,No results,-0.58,168.04216,169.04944,8.108,3,0,89.8,55.8,,,,Reference-239,DDA for preferred ion,[M+H]+1
11.382_177.05447_RP,4-Methylumbelliferone hydrate,C10 H8 O3,Full match,Full match,No results,-0.87,176.04719,177.05447,11.382,4,0,82.4,51.5,,,,Autoprocessed-3890,DDA for preferred ion,[M+H]+1
11.454_177.05446_RP,4-Methylumbelliferone hydrate,C10 H8 O3,Full match,Full match,No results,-0.93,176.04718,177.05446,11.454,4,0,82.4,51.5,,,,Autoprocessed-3890,DDA for preferred ion,[M+H]+1
11.138_177.05446_RP,4-Methylumbelliferone hydrate,C10 H8 O3,Full match,Full match,No results,-0.9,176.04718,177.05446,11.138,4,0,79.4,74.7,,,,Autoprocessed-3890,DDA for preferred ion,[M+H]+1
11.919_177.05446_RP,4-Methylumbelliferone hydrate,C10 H8 O3,Full match,Full match,No results,-0.89,176.04719,177.05446,11.919,4,0,64.5,43.3,,,,Autoprocessed-3890,DDA for preferred ion,[M+H]+1
11.267_177.05446_RP,4-Methylumbelliferone hydrate,C10 H8 O3,Full match,Full match,No results,-0.89,176.04719,177.05446,11.267,4,0,73.9,70.7,,,,Autoprocessed-3890,DDA for preferred ion,[M+H]+1
12.157_177.05447_RP,4-Methylumbelliferone hydrate,C10 H8 O3,Full match,Full match,No results,-0.83,176.0472,177.05447,12.157,3,0,63.2,8.2,,,,Autoprocessed-3890,DDA for preferred ion,[M+H]+1
11.694_268.09662_RP,"4-oxo-4-(5,6,7,8-tetrahydronaphthalen-1-ylamino)but-2-enoic acid",C14 H15 N O3,No match,Invalid mass,No results,89692.72,267.08935,268.09662,11.694,2,0,88.1,9.4,,,,,DDA for preferred ion,[M+H]+1
9.711_181.04937_RP,"4-oxo-4,5,6,7-tetrahydrobenzo[b]furan-3-carboxylic acid",C9 H8 O4,Full match,Full match,No results,-0.94,180.04209,181.04937,9.711,1,0,81.9,9.1,,,,Autoprocessed-7048,DDA for preferred ion,[M+H]+1
14.088_262.16472_RP,4-oxododecanedioic acid,C12 H20 O5,No match,Invalid mass,No results,69742.75,261.15745,262.16472,14.088,1,0,75.4,71.9,,,,,DDA for preferred ion,[M+H]+1
14.233_215.07014_RP,"4,4'-Dihydroxybenzophenone",C13 H10 O3,Full match,Full match,No results,-0.63,214.06286,215.07014,14.233,1,0,66.5,47.4,,,C14220,Reference-7304,DDA for preferred ion,[M+H]+1
8.607_240.10173_RP,"4,4'-dimethoxy[1,1'-biphenyl]-2-carbonitrile",C15 H13 N O2,Full match,Full match,No results,-0.72,239.09446,240.10173,8.607,1,0,94.3,71.4,,,,Autoprocessed-4314,DDA for preferred ion,[M+H]+1
9.741_225.07553_RP,"4,8-Dihydroxy-6-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11 H12 O5,Full match,Full match,No results,-1.01,224.06825,225.07553,9.741,2,0,68.1,67.4,,,,Reference-7578,DDA for preferred ion,[M+H]+1
9.623_249.07309_RP,"5-[(dimethylamino)methylidene]-3-phenyl-1,3-thiazolane-2,4-dione",C12 H12 N2 O2 S,No match,Invalid mass,No results,-88599.06,226.08389,249.07309,9.623,3,0,71.8,69.2,,,,,DDA for preferred ion,[M+Na]+1
11.117_341.13816_RP,"5-[4-(3-hydroxy-4-methoxyphenyl)-hexahydrofuro[3,4-c]furan-1-yl]-2-methoxyphenol",C20 H22 O6,No match,Invalid mass,No results,-50289.47,340.13088,341.13816,11.117,2,0,84.9,78.7,,,,,DDA for preferred ion,[M+H]+1
1.111_132.06536_RP,5-Aminolevulinic acid,C5 H9 N O3,Full match,Full match,No results,-1.23,131.05808,132.06536,1.111,4,0,67.3,43.8,,,C00430,Reference-250,DDA for preferred ion,[M+H]+1
1.11_132.06535_RP,[Similar to: 5-Aminolevulinic acid],C5 H9 N O3,No match,Invalid mass,No results,-129917.2,114.03152,132.06535,1.11,4,0,67.3,43.8,,,,,DDA for preferred ion,[M+NH4]+1
1.227_132.06536_RP,[Similar to: 5-Aminolevulinic acid],C5 H9 N O3,Full match,Full match,No results,-1.23,131.05808,132.06536,1.227,4,0,65.4,43.5,,,,Reference-250,DDA for preferred ion,[M+H]+1
1.328_132.06538_RP,[Similar to: 5-Aminolevulinic acid],C5 H9 N O3,Full match,Full match,No results,-1.1,131.0581,132.06538,1.328,4,0,65.4,43.5,,,,Reference-250,DDA for preferred ion,[M+H]+1
1.532_101.05958_RP,5-Aminovaleric acid,C5 H11 N O2,No match,Invalid mass,Invalid mass,-145429.07,100.05229,101.05958,1.532,3,4,88.6,9.4,,88.3,C00431,,DDA for preferred ion,[M+H]+1
11.171_192.06536_RP,[Similar to: 5-Hydroxyindole-3-acetic acid],C10 H9 N O3,No match,Invalid mass,No results,-89117.93,174.03153,192.06536,11.171,1,0,84.2,52.6,,,,,DDA for preferred ion,[M+NH4]+1
11.169_192.06538_RP,5-Hydroxyindole-3-acetic acid,C10 H9 N O3,Full match,Full match,No results,-0.72,191.05811,192.06538,11.169,1,0,84.2,52.6,,,C05635,Reference-256,DDA for preferred ion,[M+H]+1
2.179_247.17627_RP,5-Methoxy MiPT,C15 H22 N2 O,No match,Invalid mass,No results,-17.16,246.16899,247.17627,2.179,2,0,89.3,9.5,,,,,DDA for preferred ion,[M+H]+1
9.426_206.081_RP,5-Methoxyindoleacetic acid,C11 H11 N O3,Full match,Full match,No results,-0.85,205.07372,206.081,9.426,1,0,79.2,9,,,C05660,Reference-260,DDA for preferred ion,[M+H]+1
1.479_335.09462_RP,5-Methyl-1-phenyl-4-[1-(thien-2-oyl)pyrazol-5-yl]pyrazole,C18 H14 N4 O S,No match,Full match,No results,-4.45,334.08734,335.09462,1.479,3,0,98.3,9.9,,,,Autoprocessed-2623,DDA for preferred ion,[M+H]+1
8.642_211.09632_RP,6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,C11 H16 O5,No match,Invalid mass,No results,-78959.86,210.08905,211.09632,8.642,1,0,77.7,73.5,,,,,DDA for preferred ion,[M+H]+1
13.232_189.09086_RP,"6-(3-Pyridyl)-1,3,5-triazine-2,4-diamine",C8 H8 N6,No match,Invalid mass,No results,13.52,188.08359,189.09086,13.232,3,0,87.9,80.9,,,,,DDA for preferred ion,[M+H]+1
